Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Drug Reaction,skin_rash,stomach_pain,,,,,,,,,,,,,,,
Drug Reaction,itching,burning_micturition,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,skin_rash,,,,,,,,,,,,,,,
Drug Reaction,skin_rash,burning_micturition,vomiting,stomach_pain,itching,,,,,,,,,,,,
Drug Reaction,burning_micturition,itching,,,,,,,,,,,,,,,
Drug Reaction,itching,vomiting,stomach_pain,burning_micturition,skin_rash,,,,,,,,,,,,
Drug Reaction,vomiting,stomach_pain,itching,,,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,skin_rash,,,,,,,,,,,,,,
Drug Reaction,vomiting,skin_rash,,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,burning_micturition,skin_rash,itching,,,,,,,,,,,,,
Drug Reaction,vomiting,skin_rash,,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,stomach_pain,vomiting,skin_rash,,,,,,,,,,,,,
Drug Reaction,skin_rash,itching,,,,,,,,,,,,,,,
Drug Reaction,skin_rash,itching,burning_micturition,vomiting,,,,,,,,,,,,,
Drug Reaction,vomiting,stomach_pain,skin_rash,itching,,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,vomiting,skin_rash,,,,,,,,,,,,,
Drug Reaction,burning_micturition,itching,skin_rash,,,,,,,,,,,,,,
Drug Reaction,vomiting,stomach_pain,burning_micturition,skin_rash,itching,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,,,,,,,,,,,,,,,
Drug Reaction,vomiting,stomach_pain,skin_rash,burning_micturition,,,,,,,,,,,,,
Drug Reaction,itching,vomiting,burning_micturition,stomach_pain,,,,,,,,,,,,,
Drug Reaction,stomach_pain,itching,skin_rash,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,vomiting,stomach_pain,itching,,,,,,,,,,,,,
Drug Reaction,itching,burning_micturition,stomach_pain,vomiting,,,,,,,,,,,,,
Drug Reaction,skin_rash,burning_micturition,,,,,,,,,,,,,,,
Drug Reaction,itching,vomiting,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,vomiting,burning_micturition,,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,stomach_pain,vomiting,skin_rash,itching,,,,,,,,,,,,
Drug Reaction,stomach_pain,skin_rash,itching,burning_micturition,,,,,,,,,,,,,
Drug Reaction,vomiting,skin_rash,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,itching,stomach_pain,skin_rash,,,,,,,,,,,,,
